Brand,CPU,CPU_BRAND,RAM(GB),RAM_TYPE,GPU,SSD(GB),HDD(GB),USD,,Summary Statistics,
ASUS,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,311.88,,,
HP,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,311.88,,,
Wings,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,311.88,,,
ASUS,Intel Pentium Gold,Intel,8,DDR4,UHD,256,0,311.88,,,
Lenovo,Intel Celeron Dual-Core,Intel,8,DDR4,UHD 600,512,0,311.88,,,
Lenovo,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R5,0,1024,311.88,,,
Lenovo,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,311.88,,,
Acer,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,311.88,,,
Lenovo,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon 530,0,1024,311.88,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,Integrated,256,0,311.99,,,
Lenovo,Intel Celeron Dual-Core,Intel,8,DDR4,UHD 600,512,0,311.99,,,
HP,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon Vega 8,512,0,316.68,,,
Lenovo,Intel Celeron Dual-Core,Intel,8,DDR4,UHD Graphics,256,0,316.79,,,
HP,AMD Dual-Core A6 APU,AMD,4,DDR4,Radeon R4 ,0,500,317.72,,,
HP,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,317.76,,,
Lenovo,AMD Dual-Core Ryzen 3,AMD,4,DDR4,Radeon,0,1024,317.84,,,
Acer,Intel Core i5 (10th Gen),Intel,4,DDR4,Geforce GTX MX330,0,1024,317.84,,,
HP,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,317.88,,,
HP,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,318,,,
ASUS,Intel Pentium Quad-Core,Intel,8,DDR4,Integrated UHD,256,0,318,,,
Dell,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,256,0,318.95,,,
ASUS,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,256,0,319.08,,,
Dell,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,319.8,,,
Acer,Intel Celeron Dual-Core,Intel,8,DDR4,UHD,256,0,321.48,,,
AVITA,AMD Dual-Core Ryzen 3,AMD,8,DDR3,Radeon Vega 3,256,0,322.2,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,UHD,256,0,322.8,,,
HP,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,323.88,,,
Acer,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,323.88,,,
Dell,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,323.88,,,
ASUS,Intel Pentium Quad-Core,Intel,4,DDR3,HD 505,0,1024,323.88,,,
Lenovo,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,323.88,,,
Dell,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,323.88,,,
Lenovo,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,323.88,,,
ASUS,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,323.88,,,
Lenovo,AMD Dual-Core Ryzen 3,AMD,4,DDR4,Radeon Vega 3,0,1024,323.88,,,
ASUS,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,323.88,,,
